ADP,Player,Team,Pos,CMP,ATT,Pass YDS,Pass TDS,INT,CAR,Rush YDS,Rush TDS,REC,Rec YDS,Rec TDS,TAR,FPTS,Avg
21.6,Josh Allen,BUF,QB,336,523,3944,27,11,114,582,11,0,0,0,0,352.7,20.7
22.3,Lamar Jackson,BAL,QB,310,468,3700,31,10,145,889,4,0,0,0,0,335.8,19.8
27.4,Jayden Daniels,WAS,QB,370,556,4112,27,12,147,814,7,0,0,0,0,323.5,19
30.8,Jalen Hurts,PHI,QB,323,485,3704,22,10,151,682,14,0,0,0,0,325.1,19.1
35.5,Joe Burrow,CIN,QB,430,627,4638,34,12,50,199,2,0,0,0,0,317.1,18.7
52.8,Patrick Mahomes,KC,QB,409,607,4371,30,12,73,369,3,0,0,0,0,315.5,18.6
63,Baker Mayfield,TB,QB,378,554,4167,33,14,62,320,2,0,0,0,0,322.1,18.9
79.8,Bo Nix,DEN,QB,367,557,3941,27,12,85,418,4,0,0,0,0,310,18.2
93.5,Kyler Murray,ARI,QB,374,552,3865,22,12,90,597,5,0,0,0,0,290.3,17.1
97.8,Brock Purdy,SF,QB,365,544,4578,25,13,60,264,5,0,0,0,0,300,17.6
110.7,Justin Herbert,LAC,QB,374,572,4208,25,10,63,266,3,0,0,0,0,297.9,17.5
115.1,Dak Prescott,DAL,QB,393,593,4349,27,14,49,198,2,0,0,0,0,306.1,18
125.1,Justin Fields,NYJ,QB,302,485,3391,17,12,160,823,7,0,0,0,0,278.2,16.4
125.9,Caleb Williams,CHI,QB,352,554,3916,25,11,75,445,1,0,0,0,0,270.7,15.9
136.9,Jordan Love,GB,QB,349,543,4042,26,14,44,159,2,0,0,0,0,275.5,16.2
129.5,Jared Goff,DET,QB,388,563,4345,26,12,33,67,1,0,0,0,0,266.8,15.7
138,J.J. McCarthy,MIN,QB,389,603,4176,29,15,54,230,2,0,0,0,0,296.8,17.5
163.8,Tua Tagovailoa,MIA,QB,412,601,4575,27,13,35,103,1,0,0,0,0,282.2,16.6
163.8,Matthew Stafford,LAR,QB,381,580,4436,28,12,33,59,1,0,0,0,0,282.5,16.6
155.8,Drake Maye,NE,QB,350,523,3639,23,13,76,544,2,0,0,0,0,280.7,16.5
146.9,C.J. Stroud,HOU,QB,366,568,4378,24,11,51,240,1,0,0,0,0,261,15.4
166.3,Trevor Lawrence,JAX,QB,384,592,4274,22,14,60,283,4,0,0,0,0,279.2,16.4
161.6,Cameron Ward,TEN,QB,350,562,3823,23,14,65,298,2,0,0,0,0,259.3,15.3
166.2,Michael Penix Jr.,ATL,QB,347,544,3960,23,13,47,187,3,0,0,0,0,264.8,15.6
169,Geno Smith,LV,QB,400,592,4254,21,13,58,287,2,0,0,0,0,262.4,15.4
168.9,Anthony Richardson,IND,QB,174,288,2037,10,8,89,491,6,0,0,0,0,262.9,15.5
167.2,Bryce Young,CAR,QB,373,589,3907,22,13,51,293,4,0,0,0,0,257,15.1
168.8,Sam Darnold,SEA,QB,362,557,3968,22,14,65,221,2,0,0,0,0,365.5,21.5
168.4,Aaron Rodgers,PIT,QB,370,562,3875,21,11,31,112,1,0,0,0,0,362.7,21.3
169.6,Russell Wilson,NYG,QB,168,265,1903,9,5,30,119,1,0,0,0,0,367.3,21.6
169.9,Tyler Shough,NO,QB,233,376,2581,12,10,40,173,2,0,0,0,0,364.5,21.4
169.1,Jaxson Dart,NYG,QB,184,293,1987,10,8,39,182,2,0,0,0,0,268.5,15.8
168.6,Shedeur Sanders,CLE,QB,86,139,927,4,4,16,69,1,0,0,0,0,240.6,14.2
